,id,created_at,text,u_id,u_name,u_created_at,u_description,u_followers_count,type,c_country,u_screen_name,u_friends_count,location.lon,location.lat,geometry,index_right,name,base_year,name_eng,code
42530,225761230676164608,1342660646000.0,완소 와인상자 :)  메이드닌칠레!  @ 도미토리 (Domitory) http://t.co/jOexxqaI,149046086,쵸사장,1275033865000.0,"합정역 여행정보카페 도미토리

하나투어 상품, 항공권, 숙소예약, 패스 구입, 여행책자, 여행정보지, 여행일정 상담까지 일본 여행에 관련된 모든 것이 있는 카페랍니다 ^^

사슴x 순록o",948,ll,KOR,domitory_,652,126.91737771,37.55145039999999,POINT (126.91737771 37.55145039999999),210.0,서교동,2018,Seogyo-dong,1114066
84651,232803745891774464,1344339712000.0,와인부페 헤헤 (@ 상상마당 카페) http://t.co/NK76BaGC,137919782,Yooooo,1272427110000.0,"의지박약아.망상가.자유로운영혼
♥ & ☮",294,ll,KOR,_maniacc,284,126.92105234,37.55096981,POINT (126.92105234 37.55096981),210.0,서교동,2018,Seogyo-dong,1114066
84863,236770676441235457,1345285502000.0,Gals' out night- 이제 와인 고고! (@ Little Terrace) http://t.co/eDV5debP,164828564,Hee Jin Seo,1278711574000.0,"Shining/ 
River's wife/ 
Gaon's Mom/ 
Toefl Toeic Teps Instructor/
Jeju Island Admirer/
Shining River-the eternal sunshine",139,ll,KOR,shining0718,95,126.92233200000001,37.55194,POINT (126.922332 37.55194),210.0,서교동,2018,Seogyo-dong,1114066
102685,239704183886979072,1345984905000.0,오우 태우오빠의 추천맛집. 좋은 걸? (@ 오징어와 낙지가 통통 w/ 2 others) [pic]: http://t.co/pOMJXaOI,48865816,랑쑈,1245454503000.0,노래하는 사람/B2Lady 리더/블랙티 출신/홍대앞/주성치/음주가무/월드오브워크래프트/BL/만화/개드립/웃긴거/매운거/9010 댄스/콧수염/물놀이/4구/양갈래머리/디아블로3/리그오브레전드,1755,ll,KOR,Rangshow,421,126.92331499999999,37.554301,POINT (126.923315 37.554301),210.0,서교동,2018,Seogyo-dong,1114066
138449,239318924603318272,1345893052000.0,신나는섬 공연보러 옴!!! 9시 까지 기다려야함ㅡㅡ;; 와인한잔 비우는 중~~~ http://t.co/ln3vV3rr,240589057,서효순,1295510846000.0,"사회복지사 상식이 통하는 세상, 사람을 귀하게 여기는 세상이었으면 좋겠습니다. 우리 아이들이 사회,어른이 적이 아니라 같은 편이라고 생각했으면 좋겠습니다",431,ll,KOR,ppoyangee,291,126.93196299999998,37.554832,POINT (126.931963 37.554832),210.0,서교동,2018,Seogyo-dong,1114066
155779,231283283470729216,1343977206000.0,홍대 떡볶이 맛집 투어중 (@ Bar 삭 @홍대) http://t.co/SZ6k84fR,93981442,Warren,1259714038000.0,"Vamos!/ 양자리,O형,사람들,산악자전거,자출,건대입구,재즈,와인,사케,흑맥주,막걸리,재테크,보드,휘트니스,여행,미드,야구,운동영양학,스트레칭 #육식당 #알밤주당 당주 #와렌교 교주",1195,ll,KOR,yourWarren,450,126.92085828,37.55226041,POINT (126.92085828 37.55226041),210.0,서교동,2018,Seogyo-dong,1114066
177192,234276791467003905,1344690914000.0,"맛나다~~~^^
흐흐ㅡ 맛집♥ (@ 동강해물찜) #아임IN http://t.co/ZEtjQNMu",160797038,Lauren kong(꽁★),1277785278000.0,Brillant sunshine★,255,ll,KOR,kong9623,374,126.92240869,37.55679995,POINT (126.92240869 37.55679995),210.0,서교동,2018,Seogyo-dong,1114066
192566,241130613233565696,1346324992000.0,"@jchoun2050 목표3 / 통일정책""
통일은. 바리케이트 와인쎌라"" 축제의 술을 담자""
철조망이 풀처럼 변하고 와인이 숙성. 되든 우리는
기다림이 필요하다 그것이 통일의 기쁨이요 축제다""",393200806,신종춘,1318915177000.0,그~생산하는사람. 쇼생크탈출.운동본부.하트299.정책개발자.개발자.발견자.기획자.아리수에 핀 무궁화 꽃.통큰마. 음. 간큰마음환경Artist. 전략가.애풀2050환경Freedom is not free 운동본부발명가 . 환경마켓터,65,ll,KOR,jchoun2050,16,126.9123378,37.5529435,POINT (126.9123378 37.5529435),210.0,서교동,2018,Seogyo-dong,1114066
200789,234981536913567744,1344858938000.0,"커피리브레 나쁜피, 딸기레드와인.사천성후추 (@ 펠앤콜) [pic]: http://t.co/zgLFDTPC",213352845,Hyejoon Kim,1289239692000.0," '한때' (나폴레옹압구정/방배, ROSE bakery patisserie chef , 전 2대빵당#bbang당주) le cordon blue숙명Patisserie 
 '현재' 동네빵집 빵랑길을 헤메이는 중.
 '방랑빵객' '인천문예' 'Olive show 빵자문'",1773,ll,KOR,Miel_Jade,1581,126.92174553,37.55006875,POINT (126.92174553 37.55006875),210.0,서교동,2018,Seogyo-dong,1114066
208553,238460174841556992,1345688310000.0,와인잔에 있어도 술 아님@.@ 여기 분위기 굿~ (@ the famous Lamb) http://t.co/pGzUEDUV,48868797,sang-jun Park,1245455297000.0,"funny, new items, restaurant, marketing, planning, bike, curious, sports, gourmet...",644,ll,KOR,Flexible_,1118,126.92108989,37.55763392,POINT (126.92108989 37.55763392),210.0,서교동,2018,Seogyo-dong,1114066
